iter	Passed	Remaining
0	29	29499
1	45	22618
2	56	18898
3	62	15547
4	67	13376
5	71	11838
6	74	10572
7	77	9618
8	80	8828
9	82	8174
10	84	7640
11	87	7229
12	90	6852
13	92	6545
14	95	6276
15	98	6079
16	101	5871
17	103	5671
18	106	5497
19	109	5363
20	112	5233
21	114	5088
22	117	4971
23	120	4891
24	123	4810
25	125	4709
26	128	4612
27	130	4533
28	133	4457
29	135	4393
30	138	4335
31	141	4268
32	143	4206
33	145	4144
34	148	4094
35	151	4065
36	154	4013
37	155	3927
38	157	3889
39	160	3850
40	164	3839
41	167	3811
42	169	3777
43	172	3741
44	174	3707
45	177	3681
46	180	3653
47	182	3625
48	185	3599
49	188	3573
50	190	3553
51	193	3536
52	196	3518
53	200	3505
54	202	3480
55	205	3457
56	207	3435
57	210	3420
58	213	3399
59	215	3372
60	218	3357
61	220	3334
62	222	3312
63	225	3298
64	228	3291
65	231	3275
66	233	3253
67	236	3243
68	239	3226
69	241	3212
70	244	3193
71	246	3176
72	248	3161
73	251	3146
74	254	3133
75	256	3117
76	258	3104
77	261	3092
78	264	3080
79	266	3065
80	269	3052
81	271	3044
82	274	3032
83	277	3022
84	279	3012
85	282	2997
86	284	2982
87	286	2968
88	288	2954
89	290	2942
90	293	2931
91	296	2926
92	298	2914
93	301	2902
94	303	2891
95	305	2881
96	308	2873
97	312	2871
98	314	2860
99	316	2850
100	319	2839
101	321	2827
102	323	2816
103	326	2808
104	328	2800
105	330	2791
106	333	2783
107	336	2776
108	338	2769
109	341	2763
110	344	2757
111	346	2748
112	349	2740
113	351	2730
114	353	2721
115	356	2713
116	359	2709
117	361	2700
118	363	2694
119	366	2688
120	369	2681
121	371	2672
122	373	2664
123	376	2656
124	378	2650
125	381	2643
126	383	2634
127	385	2627
128	388	2621
129	390	2614
130	393	2607
131	395	2602
132	398	2596
133	400	2589
134	403	2582
135	405	2576
136	408	2574
137	411	2568
138	413	2560
139	415	2555
140	418	2548
141	420	2542
142	423	2537
143	425	2531
144	428	2525
145	430	2519
146	433	2512
147	435	2506
148	438	2502
149	441	2500
150	443	2494
151	446	2491
152	448	2485
153	451	2479
154	453	2473
155	456	2469
156	458	2464
157	461	2458
158	463	2453
159	466	2448
160	468	2443
161	470	2433
162	473	2429
163	475	2424
164	478	2419
165	480	2413
166	482	2407
167	485	2402
168	487	2397
169	489	2392
170	492	2387
171	495	2383
172	497	2377
173	499	2371
174	502	2367
175	504	2363
176	507	2358
177	509	2353
178	512	2349
179	515	2346
180	517	2341
181	519	2335
182	521	2330
183	524	2325
184	526	2320
185	529	2315
186	531	2312
187	534	2307
188	536	2302
189	539	2299
190	542	2295
191	544	2290
192	546	2287
193	549	2281
194	551	2277
195	554	2275
196	556	2270
197	559	2265
198	562	2262
199	565	2260
200	567	2256
201	569	2251
202	573	2250
203	575	2247
204	578	2243
205	581	2240
206	584	2238
207	587	2236
208	589	2232
209	592	2230
210	595	2227
211	598	2223
212	600	2219
213	603	2217
214	606	2214
215	608	2209
216	611	2206
217	613	2201
218	616	2199
219	619	2194
220	619	2184
221	622	2181
222	625	2177
223	627	2173
224	629	2169
225	633	2169
226	636	2166
227	638	2162
228	641	2159
229	643	2155
230	646	2152
231	649	2149
232	652	2147
233	654	2143
234	657	2139
235	659	2135
236	662	2131
237	665	2129
238	667	2125
239	669	2121
240	672	2117
241	675	2114
242	677	2111
243	680	2108
244	683	2105
245	686	2104
246	689	2101
247	691	2098
248	694	2094
249	697	2091
250	699	2088
251	702	2085
252	704	2081
253	707	2078
254	710	2074
255	712	2071
256	715	2069
257	718	2065
258	720	2061
259	723	2058
260	725	2054
261	728	2051
262	730	2047
263	733	2044
264	735	2041
265	738	2037
266	740	2033
267	744	2032
268	746	2028
